The contents of this table may be checked by querying the dbo.GetCompleteGOESTrackingStatuses view on swdssqlop,,,,,,,,,,
Underlined sat #,indicates satellite change effective that Start Date and Time,,,,,,,,,
,,,,,,,,,,
Start Date,Time (UT),SXI Primary,SXI Secondary,XRS Primary,XRS Secondary,MAG Primary,MAG Secondary,EPEAD Primary,EPEAD Secondary,Comments
7/8/2019,23:00,15,14,15,14,14,15,14,15,The GOES magnetometer data should come from the same source as the particles.
7/8/2019,20:00,15,14,15,14,15,14,14,15,Bad sensor on GOES-15. (SXI Change)
7/8/2019,15:30,14,15,15,14,15,14,14,15,Bad sensor on GOES-15.
4/18/2019,19:34,14,15,15,14,15,14,15,14,Updated background coefficients for G15 (see link)
12/17/2018,18:45,14,15,15,14,15,14,15,14,OSPO power off of GOES-15 MAGED and MAGPD (not used for SWPC OPS)
12/12/2017,16:30,14,15,15,14,15,14,15,14,
8/23/2017,21:20,13,15,15,13,13,15,13,15,
8/16/2017,19:15,13,14,13,14,13,15,13,15,
6/23/2017,17:00,13,15,15,13,13,15,13,15,
5/30/2017,20:00,13,15,15,13,13,15,15,13,Data availability issue at APS
7/14/2016,18:00,13,15,15,13,13,15,13,15,
6/23/2016,17:00,14,15,15,13,13,15,13,15,
6/9/2016,17:30,14,15,15,13,13,15,13,15,
5/16/2016,17:00,14,15,14,15,13,15,13,15,
5/12/2016,17:30,14,13,14,13,13,15,13,15,
5/3/2016,13:00,13,14,13,14,15,15,13,15,
6/9/2015,16:25,15,13,15,13,13,15,13,15,
5/21/2015,18:00,14,13,14,13,15,15,13,15,
1/26/2015,16:01,15,13,15,13,15,15,13,15,
6/5/2013,21:00,15,14,15,14,13,15,13,15,
5/22/2013,15:10,15,14,15,14,15,13,15,13,
11/19/2012,16:31,15,14,15,14,13,15,13,15,
10/23/2012,22:00,14,15,14,15,13,14,13,14,
10/23/2012,16:00,14,15,14,15,13,15,13,15,
9/1/2011,0:00,15,14,15,14,13,15,13,15,
2/28/2011,18:00,15,15,15,15,13,15,13,15,
10/28/2010,0:00,15,15,15,15,13,,13,11,
9/1/2010,0:00,14,15,14,15,13,,13,11,
4/14/2010,15:30,14,,14,,13,,13,11,
12/1/2009,0:00,14,,14,,,,,10,
11/28/2008,0:00,,,10,,,,,10,
1/1/2007,0:00,,,10,11,,,,,
6/28/2006,0:00,,,12,11,,,,,
5/15/2003,15:00,,,12,10,,,,,
4/8/2003,15:00,,,10,12,,,,,
